date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:07	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684598	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/pagee546.css	(from http://www.mauritiusjobs.mu/read_news/VFhwTmVnPT0%3D)
18:22:07	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684598	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menue546.css	(from http://www.mauritiusjobs.mu/read_news/VFhwTmVnPT0%3D)
18:22:08	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684599	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page1f52.css	(from http://www.mauritiusjobs.mu/read_news/VFhwTmVBPT0%3D)
18:22:08	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684599	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu1f52.css	(from http://www.mauritiusjobs.mu/read_news/VFhwTmVBPT0%3D)
18:22:09	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684600	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/pageb9c3.css	(from http://www.mauritiusjobs.mu/read_news/VFhwSk5RPT0%3D)
18:22:09	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684600	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menub9c3.css	(from http://www.mauritiusjobs.mu/read_news/VFhwSk5RPT0%3D)
18:22:10	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684601	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page4f8f.css	(from http://www.mauritiusjobs.mu/read_news/VFhwSk13PT0%3D)
18:22:10	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684601	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu4f8f.css	(from http://www.mauritiusjobs.mu/read_news/VFhwSk13PT0%3D)
18:22:10	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684602	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page74b0.css	(from http://www.mauritiusjobs.mu/read_news/VFhwSk1RPT0%3D)
18:22:11	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684602	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu74b0.css	(from http://www.mauritiusjobs.mu/read_news/VFhwSk1RPT0%3D)
18:22:11	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684603	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page8b2e.css	(from http://www.mauritiusjobs.mu/read_news/VFhwSmVnPT0%3D)
18:22:12	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684603	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu8b2e.css	(from http://www.mauritiusjobs.mu/read_news/VFhwSmVnPT0%3D)
18:22:12	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684604	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/pagea9fd.css	(from http://www.mauritiusjobs.mu/read_news/VFhwSmVBPT0%3D)
18:22:13	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684604	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menua9fd.css	(from http://www.mauritiusjobs.mu/read_news/VFhwSmVBPT0%3D)
18:22:13	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684605	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page115b.css	(from http://www.mauritiusjobs.mu/read_news/VFhwRk5RPT0%3D)
18:22:14	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684605	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu115b.css	(from http://www.mauritiusjobs.mu/read_news/VFhwRk5RPT0%3D)
18:22:14	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684606	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/pagef706.css	(from http://www.mauritiusjobs.mu/read_news/VFhwRk13PT0%3D)
18:22:14	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684606	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menuf706.css	(from http://www.mauritiusjobs.mu/read_news/VFhwRk13PT0%3D)
18:22:15	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684607	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page21a2.css	(from http://www.mauritiusjobs.mu/read_news/VFhwRk1RPT0%3D)
18:22:15	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684607	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu21a2.css	(from http://www.mauritiusjobs.mu/read_news/VFhwRk1RPT0%3D)
